shot_number,result,right_elbow_angle,right_shoulder_angle,right_wrist_extension,left_elbow_angle,right_knee_angle,left_knee_angle,right_hip_angle,shoulder_tilt,hip_tilt,knee_spread,release_height,release_x_position,body_vertical_alignment,ball_hoop_distance_x,ball_hoop_distance_y,ball_hoop_total_distance,release_angle_to_hoop
16,miss,149.1026078,151.5704089,21,125.0670233,153.7875626,174.2940998,168.9429073,5,2,19,578,1184,27,46,183,189.352472,118.6397063
17,make,138.8629412,132.2628287,3,154.444448,160.7069778,158.0757902,158.7494603,7,1,28,684,981,31,53,191,198.7676911,128.4045045
18,miss,90.9907157,90.5136021,-20,101.0408828,172.5509745,161.1604344,159.7903583,10,5,12,585,1157,39,47,188,194.9259605,112.6901143
19,miss,169.6301923,163.933107,46,147.6028622,170.1877953,167.4016505,167.8212741,3,0,62,758,1197,20,67,214,225.4390843,117.0374605
20,miss,150.2277441,145.3537113,28,155.2907186,141.796844,172.8262983,169.8061373,5,2,54,693,1243,14,45,240,244.4246181,111.9438939
21,miss,128.9168166,145.5893851,-73,140.3404064,182.033801,152.2305133,178.5057296,15,3,2,466,1069,38,75,161,177.9946016,108.8884373
22,miss,121.6215499,122.8770358,-44,187.9409197,128.8905983,128.5284414,175.1422658,12,3,22,688,1274,83,11,155,156.2683432,118.99834
23,miss,161.3154281,171.5157932,-29,151.36005,155.1182376,170.5041191,162.7450959,10,5,27,602,1410,47,114,140,181.2971683,101.7248002
24,miss,150.5735699,143.3306129,9,154.2469307,191.2079309,153.8803297,181.7134179,3,1,49,694,1463,39,93,183,206.3924596,127.2356888
25,make,151.7018406,152.6310287,33,170.2838486,159.0578913,158.8385654,161.6784103,5,3,43,667,1420,41,95,161,187.2313278,121.7872807
26,miss,101.7532048,105.3843611,-12,82.7587677,180.2291267,167.3596669,158.0280468,12,10,0,621,1314,58,91,152,177.2889658,92.404134
27,miss,167.9256994,160.3097649,4,160.6581781,180.6552403,164.3424974,165.5584038,3,4,67,607,870,40,62,164,176.01793,122.0835645
28,make,161.6033656,159.1248359,12,146.7332564,150.805668,156.4255757,171.5857386,3,3,36,726,1209,43,17,106,108.0480343,117.8378803
29,miss,49.708827,43.5684453,-25,162.515635,163.0170819,151.4110762,153.1015523,15,7,0,623,1093,59,65,102,122.0406746,95.5881484
30,miss,131.3909903,128.2763184,-19,99.3042858,145.2013908,168.8625032,165.1880834,10,7,11,533,1588,52,48,99,110.4554327,110.3723552
31,make,174.1724871,174.0103952,25,144.1410212,164.6398146,166.1308259,178.5138785,3,1,46,724,1238,22,96,210,231.6252908,129.8147868
32,miss,76.6822336,81.130769,-10,106.4649208,166.8145054,160.0836205,171.7582334,15,10,12,515,1456,48,20,175,176.7258142,130.1928902
33,make,171.0034939,169.6622535,49,162.4995349,173.4434681,174.3016092,172.462765,3,1,57,799,983,28,128,194,232.5897663,117.5351143
34,miss,140.6528921,137.8755065,2,172.835248,179.2050425,159.2925371,163.3411554,10,1,39,690,972,53,142,172,224.1613794,111.1229844
35,make,155.7957398,159.9845609,1,111.2861602,170.2322319,152.7967931,153.8612896,5,4,0,668,1408,42,136,157,208.1973684,114.6544938
36,miss,89.2093913,105.1038042,-13,129.8234274,144.0367696,127.2322297,171.8772852,12,3,0,487,1005,51,62,149,162.0126958,101.3784181
37,miss,73.1236243,67.8330975,0,98.6427644,154.403369,127.6512729,166.6642998,12,5,11,555,1134,54,83,104,133.9175321,105.7401582
38,miss,137.77866,138.6594122,-10,151.0214369,165.3371905,167.6859358,161.0814225,3,4,53,650,948,33,81,188,204.9820155,128.621324
39,miss,159.893831,143.1380265,-40,171.9300127,143.4729188,128.27682,164.1907156,10,5,4,766,1234,28,92,153,178.9914064,95.8024028
40,make,176.6323627,169.2363826,18,155.9753695,173.1328041,156.5614612,156.0506192,7,2,33,616,1373,63,66,159,172.6208914,110.9302563
41,make,173.2589787,173.885243,42,179.6654086,166.4420988,172.8208721,170.8741818,3,1,21,704,1146,25,103,203,228.4454277,112.2047018
42,miss,114.8497904,125.8346391,-11,131.6126493,163.5981624,149.0837807,182.5781118,12,10,0,569,1257,57,86,134,159.8268628,87.9332442
43,miss,148.395428,158.1066559,-20,156.4193157,148.7445597,139.9342843,172.3796964,5,1,32,834,1161,41,57,190,199.3105477,112.6176632
44,make,169.1309758,168.6619608,51,170.0112928,169.5668441,172.948972,173.2535336,3,0,34,785,1210,32,86,221,238.0008637,114.5944733
45,miss,127.3140214,121.6732351,-52,151.8114332,159.7530177,146.512362,180.46637,10,3,0,597,1323,49,63,97,116.4811711,122.3251752
46,make,158.4095447,157.1712988,20,154.9570944,166.09009,177.9798684,170.2069526,2,1,46,754,1209,10,120,196,230.3650916,117.1020964
47,miss,137.850884,132.2766534,-30,106.8325423,149.5284124,135.2735705,167.7312781,12,3,0,611,1764,56,29,132,135.4764557,83.685044
48,make,168.7656378,168.2066229,33,163.1614611,167.7716345,172.9295052,172.7494071,4,1,48,787,1044,26,70,210,222.3009352,123.7184327
49,miss,150.7868608,154.686004,7,178.5277848,157.1195238,171.5692907,181.4706627,3,3,2,662,1371,48,73,170,185.6878654,124.5593582
50,make,168.2667592,166.0777705,34,161.6448417,173.2798857,167.4037488,178.0077898,2,0,58,755,1072,16,93,221,239.9837426,125.6797098
51,miss,106.2336946,96.0578469,2,150.2565011,132.6682231,158.8762157,177.2681266,10,5,40,769,1216,44,63,117,133.4411042,109.7885297
52,make,147.0998858,151.5838724,23,138.0704823,164.2909464,161.6483303,156.0437369,10,4,16,670,1182,17,120,182,218.9696173,115.3755308
53,miss,121.2568776,147.6235691,9,159.0643417,156.5331948,150.4972791,138.0391771,10,5,1,530,923,51,75,168,184.3581323,109.9774135
54,make,138.739195,142.7027501,-15,170.8670151,159.6785611,161.1143178,161.0089728,5,2,37,636,1370,31,128,201,238.4661254,85.5685843
55,miss,133.0784289,125.4590165,-24,151.9456508,161.8613897,147.6695489,144.3186897,10,7,56,554,1259,45,86,142,167.0695264,95.5900337
56,make,157.74595,151.5206939,7,145.9087425,160.1332368,174.4359778,175.6520437,3,2,29,751,1288,26,105,183,211.5925534,112.128905
57,miss,165.9914403,166.016484,51,150.6864515,165.5720044,164.9207676,174.4905927,3,1,47,747,1150,20,58,232,239.2903764,123.1192261
58,make,117.1012899,112.9416206,-44,145.2061548,130.2430212,159.6404187,151.9778298,10,3,0,658,1372,63,68,101,122.5268962,101.0305293
59,make,160.7963691,154.3300043,-4,162.0860942,179.8411603,168.5561335,167.4955358,3,2,29,617,1290,45,64,175,186.9591681,117.6587823
60,miss,147.6771295,147.6771295,35,150.9106482,146.3761703,135.4752323,163.7587684,2,1,18,621,1304,53,72,97,120.8014901,126.5853183
61,miss,118.7710589,127.2533407,19,153.5493033,159.5508091,168.9913611,169.6989224,10,3,52,661,1191,38,20,158,159.3149537,122.4326409
62,make,146.6272042,141.9832438,74,138.9000795,160.7115207,169.1583684,174.8017037,5,3,49,627,1161,38,152,157,218.8260932,127.0257651
63,miss,135.0835328,153.047141,-2,123.9329681,134.6044619,166.4500086,152.3529457,12,5,36,640,1255,45,46,147,154.9826267,105.925878
64,make,165.8049985,166.6616826,28,161.1554312,169.9448753,178.1081149,171.4849607,2,1,76,756,1084,2,139,212,254.0740485,123.1992439
65,miss,57.7323597,56.8716628,-24,121.8325947,134.3613346,130.4164937,166.6436986,8,7,3,610,1514,59,44,142,149.5493666,102.1120179
66,make,158.7311448,154.7984317,56,153.9679163,170.8937319,171.6159335,174.2296268,2,2,57,754,1178,18,140,209,252.4154427,124.4092667
67,make,169.9829888,168.1713944,17,159.6699592,168.168237,172.606058,170.4526191,3,0,56,764,1169,19,112,197,227.0287862,128.3965076
68,miss,110.5419227,118.1316149,-39,124.0795348,142.7195468,149.2281121,185.1465857,10,5,0,571,1476,52,28,113,116.9559486,113.155173
69,make,163.3926076,161.9750512,27,176.58472,178.1189681,177.7464825,175.0959958,2,1,46,745,1054,22,70,195,207.4643109,126.9174795
70,miss,122.9420262,135.900744,-38,148.6251328,147.0795406,147.0371773,162.9175248,15,3,15,694,1457,62,43,108,116.7723751,116.4636067
71,make,167.8320936,164.506864,-2,137.211176,166.8291456,146.4626776,173.6972328,5,3,27,669,1368,51,56,188,196.8279439,117.9441898
72,make,147.1840946,151.3871282,-2,147.6062259,144.8978335,151.7604892,184.4610464,7,2,62,671,1163,35,75,180,195.8842175,126.4339811
73,miss,164.0215982,162.5317929,28,163.5548133,168.0379004,171.4601924,165.4255413,2,1,48,779,1243,7,80,197,213.2619133,114.3605814
74,make,122.473253,118.7800653,-59,109.5527039,155.8681399,156.7267266,161.8377688,8,7,29,583,1027,50,82,155,176.2236264,121.8241119
75,miss,152.7279938,153.9690968,6,142.2523345,173.3033582,156.4391617,170.5725299,7,4,20,731,1123,31,45,176,181.9577842,118.7730049
76,make,160.2241778,160.6079568,33,159.447139,174.1398131,181.6153736,179.5570261,3,2,16,764,1110,20,103,199,224.6245332,114.6217947
77,miss,70.4327197,80.1022861,-6,141.2358379,163.8153876,140.8042165,157.6736248,15,5,44,600,947,27,40,166,171.5387496,114.4594999
78,make,166.5841205,169.1288275,42,167.8872366,163.7255628,168.1997685,172.5091643,3,1,46,805,1210,20,94,195,217.2092303,120.4648831
79,make,145.3833265,146.4790781,20,178.6617992,164.0470447,167.7902153,174.8631721,3,4,33,657,1229,47,44,187,192.7651058,107.9987919
80,miss,175.0292947,175.0292947,-44,156.13667,156.2824729,171.9992332,174.0339574,4,1,9,599,1230,51,60,211,219.3649926,105.8736417
81,make,171.6354025,170.5075076,27,165.7814306,176.3081806,173.695302,166.6920141,2,0,32,819,1011,24,137,227,265.8672019,117.5736155
82,miss,152.6987155,156.8878682,13,142.3635105,172.5087278,171.5443103,177.7764557,3,2,29,720,1263,23,61,175,186.0038795,100.1701557
83,miss,104.5773359,113.5538936,11,159.6928346,137.761357,130.6944051,166.9663461,10,5,21,547,1274,57,74,139,157.8456598,108.9694057
84,make,162.3921842,164.0004475,23,149.449663,162.2064975,161.290689,169.3504545,3,4,46,696,1275,40,110,190,220.6844856,118.5884807
85,miss,160.8779154,158.1768035,34,148.1533242,172.9545826,172.818347,173.5877412,2,2,37,852,1286,10,105,198,225.3161659,113.9131216
86,make,120.0062119,119.9132087,-28,133.8797671,162.376474,134.9930468,155.4188351,10,3,7,571,1437,55,59,160,171.3175225,103.3515385
87,make,150.3119056,146.6718909,11,175.6231463,158.5403582,157.0080799,166.1380518,7,2,10,696,1162,31,25,202,204.2338481,114.221628
88,make,173.2182066,171.0460975,48,174.4586964,167.4970482,167.3360752,174.4014809,2,1,32,706,926,21,85,199,217.2031901,124.175183
89,make,157.2770186,154.4827822,29,175.3837885,164.4032696,158.839222,171.1953646,3,2,53,747,1265,5,90,206,225.7456599,122.6953123
90,miss,137.7877012,131.9616912,-14,157.8191266,170.7247141,171.5096568,169.0561512,7,2,6,655,1221,22,91,175,198.3571711,125.4671271
91,miss,170.3310244,164.795142,-6,170.7099156,144.3130839,144.9462946,156.1831909,8,5,0,602,1141,54,16,144,145.8182343,115.0023475
92,miss,48.267643,38.0696297,4,123.7586115,153.1131344,127.7982151,180.47867,8,3,29,587,1207,64,104,163,194.1708339,131.061632
93,miss,170.7467497,171.1619564,38,154.0448061,167.5962296,181.9936251,170.0591959,3,0,69,792,1277,19,90,204,223.4927997,122.0277452
94,miss,169.002946,157.539492,-12,111.1431037,149.0379248,152.9314362,165.2135722,10,7,18,585,1453,66,24,152,154.8421949,113.4140729
95,miss,149.5015501,148.4609659,12,126.7722643,159.5127509,165.928449,171.2788511,5,3,9,728,1264,27,142,161,214.8594977,124.1915417
96,miss,175.9194575,173.5727252,-11,147.4176537,167.0885354,165.5821273,166.8524968,7,2,0,703,1291,41,93,203,224.2389496,118.9537368
97,make,161.558028,160.4643101,35,159.5657523,168.4357711,173.5321511,171.9800911,3,1,67,797,942,17,90,190,211.3796036,115.3330999
98,make,157.4390114,156.2062886,31,161.822849,178.408219,175.7884553,168.5541682,4,1,48,807,1048,13,68,202,213.9428536,122.7981502
99,miss,150.8731308,145.1582793,22,163.4117679,175.8305124,175.5380205,158.9786451,10,4,11,705,1777,41,119,204,236.6167308,121.5139125
100,miss,151.4418117,149.1304352,6,150.3624181,167.2213377,160.2125138,180.046049,3,2,12,752,1229,47,28,190,192.3902285,123.896308
101,make,154.4133619,153.2413229,-1,144.6418842,155.8380808,156.6817779,169.4625737,7,3,15,650,1235,40,96,186,210.0131006,122.4268242
102,make,153.7829228,143.9313799,-29,151.6915109,167.4690606,153.7480217,161.2904527,5,4,41,719,1023,30,137,186,231.7046693,116.2631251
103,make,154.9847102,151.2422775,46,156.7351195,176.7929718,165.6751848,186.4859834,10,2,65,712,1405,23,104,206,230.919685,97.4126051
104,miss,116.5467092,113.0875159,2,101.9562224,138.4970394,149.021084,172.2876899,12,10,19,624,1316,39,56,102,117.1268261,105.9729905
105,miss,122.4685197,133.1233234,-33,165.233686,184.4834719,142.5574216,157.5449748,10,7,33,574,1229,35,32,104,109.658956,95.7864292
106,make,160.3130617,159.7934614,51,173.0212846,176.3111176,165.9188647,168.3953851,3,0,2,775,1127,19,82,207,222.9817893,124.5952697
107,make,134.1736595,134.8049982,-5,143.1121483,160.7640142,151.343826,162.2070252,5,2,44,648,1309,32,63,185,196.5115435,97.5429257
108,make,153.8662881,147.6574852,22,152.6711143,145.9219244,156.3961499,166.6911557,3,3,67,704,967,47,63,183,193.8277595,128.2579665
109,miss,124.302797,133.0180409,-51,91.6870431,173.6915684,138.8236054,173.3594785,15,5,9,546,1303,47,21,145,146.7806762,101.8403063
110,make,161.3498954,162.534956,39,168.5697276,172.4063921,172.8105346,182.553488,3,0,62,781,1161,28,112,205,234.2865364,118.178614
111,make,178.779095,177.0127743,10,159.4326754,159.4120418,161.8792807,167.2974792,7,4,17,692,1321,31,52,172,180.8578332,115.0178304
112,miss,129.5235978,126.1949938,-22,116.7666972,127.2829454,152.8238982,179.5493307,15,3,12,613,1404,36,97,141,171.5203178,124.5822828
113,miss,162.8702129,158.7292316,-25,157.1759562,172.9317569,163.7794287,166.3372129,3,2,26,644,1278,38,85,165,186.0988,113.1849684
114,miss,167.3144998,168.7198198,37,158.3430654,173.8450822,173.6214285,176.7442247,2,1,56,740,1095,17,106,212,237.4732016,119.6932878
115,make,122.3868865,115.9890017,3,155.3913658,170.1765902,157.7425619,171.4941341,3,2,14,633,997,23,116,166,203.0279115,141.3238206
116,miss,170.1404273,161.1266705,-7,127.8324716,168.8642858,154.0908418,159.6507573,10,5,0,638,1082,67,59,154,165.2290626,105.9838658
117,miss,122.3210492,113.7082072,18,143.4727511,134.4413077,145.1449198,153.2438175,12,5,0,516,1381,44,42,117,124.8044826,94.6321108
118,make,95.3495752,111.5848673,-33,101.8178619,143.2388958,117.97441,155.4871254,8,7,0,653,1531,61,49,139,147.8094269,86.7001807
119,miss,128.0137995,133.1010498,-60,152.3759579,142.7540842,150.2018952,178.1222063,8,5,25,470,1150,49,30,131,134.5238178,105.9222226
120,make,160.0666776,160.554052,37,159.9305682,169.6448085,174.1602497,167.2076626,4,2,23,738,1128,22,136,213,253.6772872,119.0403688
121,miss,147.8451071,147.0197042,16,156.1351031,160.6770482,177.7271473,160.644155,5,2,15,612,1310,10,71,227,238.9481216,99.5506408
122,miss,186.563407,184.9729549,-13,92.0839363,172.1540164,130.4833067,164.1677556,8,3,0,563,1182,45,75,101,126.9840841,107.6464971
123,make,173.5003349,173.5003349,43,170.8385226,164.9355487,156.9127353,167.3550579,3,1,60,791,885,11,177,213,276.9440377,129.726104
124,miss,139.9786432,144.9388549,12,143.6638226,170.3650984,156.0153202,170.2254493,7,4,29,678,1322,51,99,185,210.2535412,101.8816377
125,miss,133.4218181,128.409477,-31,135.9638738,130.6415787,145.8511163,172.9654712,12,7,0,572,1377,52,85,164,185.4908467,88.1991513
126,miss,159.5023554,162.213241,47,166.342965,172.3979893,175.7702889,169.5531877,3,1,45,713,1300,17,94,198,220.1371456,118.2717668
127,miss,162.0302071,161.0350621,46,167.9657694,178.3382576,174.44364,168.3715335,3,0,25,795,1334,26,129,199,237.3602511,113.0615051
128,make,157.1221888,157.9101393,27,159.9536626,167.9844458,169.3407135,183.8876486,4,0,57,793,1199,7,109,215,242.0979429,114.8796032
129,miss,155.5064731,143.8598396,-50,135.631417,159.4404095,143.5139637,168.7929382,8,7,1,473,1203,52,48,100,111.1864823,83.2122123
130,miss,130.7921693,125.8058303,-44,121.4544545,134.8960896,148.7173798,156.3580382,10,7,0,523,1249,52,11,144,145.392211,92.4341092
131,miss,146.4519392,139.8941936,19,142.2322928,171.6533453,187.0960558,163.7074233,5,1,36,635,1106,21,105,205,230.7414561,115.2338521
132,miss,141.8931881,132.583171,-19,147.1714478,119.0204584,179.8244696,159.1684812,12,10,0,595,1458,60,62,148,161.1001323,103.7476986
133,miss,161.9028053,166.3524885,-19,125.955818,154.9630054,159.2464994,168.0923883,15,7,7,539,1310,26,67,154,168.7119389,113.9705535
134,make,120.7353052,125.7152881,16,153.9817707,182.2977369,136.4897866,170.7232064,8,3,14,731,1134,41,40,71,81.7465554,98.6909397
135,miss,145.1598024,143.9056373,42,163.3434501,169.5588777,186.6500234,164.8518542,10,3,48,756,1276,41,117,177,213.0557445,106.6079033
136,miss,144.9131658,146.7634714,13,161.8670841,160.0306797,163.1743103,162.0803377,3,2,29,692,1231,44,64,193,203.7758096,120.5079757
137,miss,142.7096585,133.4880053,2,163.8909465,156.2015235,176.1519372,154.262108,8,10,0,493,1549,59,53,143,153.0926623,91.4941314
138,make,163.870432,166.2566579,45,174.1891485,169.7017161,167.6007878,170.5456496,3,1,47,759,1165,17,132,209,247.5289375,127.8611514
139,miss,151.5927438,148.4037003,14,171.9168204,166.1397067,157.0654027,162.599323,10,2,20,612,1152,36,15,168,169.0698346,108.2011146
140,make,176.3171154,176.666271,38,164.2555408,162.4061439,172.8674306,173.2409208,2,0,81,754,1180,19,70,216,227.7090643,124.5115982
141,make,165.1719455,171.8793251,0,147.7204125,177.3087451,181.8501428,174.5030469,5,3,12,663,1251,53,109,193,222.3498985,119.6328853
142,miss,158.0175847,162.4558619,9,181.9281703,167.3007076,169.9774309,175.327394,3,4,38,652,1034,40,107,194,221.8144384,131.7449243
143,make,168.6243099,167.804251,34,165.9112487,172.5384972,177.9910883,175.574675,2,1,76,826,1157,-10,130,199,238.7025693,115.1910965
144,make,126.8579517,126.0547961,5,140.5063052,163.2462154,169.9150565,169.9256915,3,4,36,770,1148,38,62,168,179.2052273,109.1509235
145,make,165.3713001,163.5161935,33,150.0255333,178.8161449,171.4818696,171.0444555,3,1,68,727,1143,23,118,230,259.3685101,106.5034053
146,make,168.9772876,171.3242353,37,152.0316805,173.9984398,169.7432155,170.8855333,3,2,53,769,1320,21,165,210,267.6087762,109.4354234
147,miss,102.8646303,108.5904581,15,153.1158421,150.8944555,138.2959483,168.9822331,12,10,17,662,1183,67,59,197,206.1636544,96.7297462
148,miss,138.5511127,129.5267021,-18,155.7212742,167.597225,155.9568337,175.1087397,3,2,0,647,1207,24,66,205,215.6484696,109.2310813
149,miss,120.5879885,112.5636881,-6,141.5010581,173.1066186,166.8302467,155.1432508,12,3,24,569,1095,55,0,82,83.3197485,102.8700974
150,miss,137.9726928,139.7294299,-44,95.4557703,161.5507516,170.5922086,157.6115001,10,5,0,593,1567,60,62,122,138.0227335,98.0020114
151,miss,124.5422217,121.6153671,-35,152.4627926,137.6125084,175.6959388,181.3335975,15,5,15,665,1134,45,21,147,148.8974411,112.9995346
152,make,158.765333,162.1404291,37,172.2679405,168.859253,179.4319107,171.9717904,2,0,49,780,1105,13,83,211,227.996047,116.2257728
153,make,151.9376097,152.294563,49,150.2586787,169.0703616,174.6455339,178.0113705,3,1,38,763,1354,22,99,208,230.7484052,119.933448
154,make,171.410276,172.6185178,58,150.2055578,178.2961662,178.7322044,169.1064846,4,0,60,770,1127,13,82,225,239.9521917,120.0040969
155,make,162.2977909,163.1114861,45,153.281687,177.1353021,169.7606386,174.4497995,2,0,37,765,1239,10,83,206,222.8814893,134.409502
156,make,124.1262325,121.3147949,-5,159.71371,155.9197592,150.876963,181.7251902,3,2,25,652,1216,21,93,172,196.4723819,112.0830625
157,miss,106.5391295,108.8817222,-5,151.3337244,142.5871497,152.2576685,171.6250259,12,3,29,596,1240,54,26,129,131.8330218,113.9350368
158,miss,163.8258088,165.9459883,34,170.0309037,170.4062584,167.8509408,172.5066237,4,2,49,740,1126,12,127,202,239.1768585,128.7165333
159,make,172.2896646,172.5012054,32,149.714087,173.5526982,167.4239139,169.8274613,3,0,27,768,1089,28,94,197,218.7314696,121.3577536
160,make,161.03433,169.9433245,-18,147.133278,157.6469654,172.2147932,161.5988741,7,3,45,694,1051,24,123,200,235.6817728,114.6098048
161,make,86.6827246,104.2054291,3,161.7888774,160.825081,131.0642234,156.7547973,12,3,19,585,1212,60,66,124,140.671679,118.9119576
162,make,139.0598759,137.8832028,-31,136.1239273,157.1195023,158.6138773,173.7825285,10,3,18,776,1410,80,89,142,168.2726496,108.6168848
163,miss,175.6654321,178.2852347,7,143.8224834,163.9503229,171.1279074,169.796047,3,2,25,662,887,46,90,169,192.1545109,133.9873498
164,miss,133.9366125,136.3489746,11,165.7100074,169.7323762,164.2717109,163.2256503,10,2,0,690,1013,37,93,167,191.6679133,116.5372511
165,miss,65.4606232,73.0577462,-22,140.4902493,137.0417556,167.191974,172.4172466,15,5,20,557,1434,71,81,113,139.5702912,109.3370078
166,make,151.5428787,152.2895882,-13,167.0473211,167.3962752,172.3305428,154.8579026,5,1,36,706,1213,24,80,154,173.9685509,126.502674
167,make,157.5626263,154.5568851,28,158.3845856,175.7670973,169.9273061,169.5746059,3,2,35,754,1138,30,81,218,232.8015635,121.2629778
168,miss,158.8089362,157.7807969,17,144.0774215,182.4813707,175.4006182,164.0818307,10,1,3,692,1387,44,113,191,222.8623539,101.1070127
169,miss,172.3458422,196.3942176,-15,118.3808194,132.3416037,155.0281024,179.829056,10,5,8,659,994,54,66,132,148.4276446,95.510749
170,make,159.465892,157.8271184,23,169.4176065,172.8780177,172.2402444,176.2370345,3,0,63,784,1103,13,125,192,229.4458639,118.1905212
171,make,162.1754694,164.4178457,51,180.2833156,175.7851603,171.7368757,160.0339447,4,1,49,761,1017,24,115,211,241.4125931,125.679462
172,make,158.6529803,159.1745139,29,167.9514098,171.6761387,173.4646783,170.8003007,2,1,37,768,1244,15,78,211,225.179274,119.8049766
173,miss,156.9683652,158.3542024,29,182.1937791,181.9625768,169.1667171,170.8017715,3,0,57,760,958,19,82,200,216.5091276,128.661792
174,miss,134.7428836,140.4404872,-15,127.52887,156.5396308,110.0163087,168.8206949,12,5,13,559,1207,75,34,118,123.3327431,103.2356949
175,make,141.4582534,140.8381464,-6,154.8523279,148.1149481,153.7995258,175.36729,3,2,42,628,1144,42,112,175,208.0936511,103.4650757
176,miss,164.6406108,171.6380429,2,150.8372957,154.6369075,162.9653886,169.7072802,5,3,43,581,1196,38,88,178,199.3069227,116.247521
177,make,173.9580186,173.6377583,41,179.5560048,177.1582689,165.9554045,174.7795836,2,1,57,740,1249,13,92,220,239.357651,119.7132045
178,miss,141.4382937,120.9388809,9,121.5936315,156.382349,165.9587039,148.283263,8,5,1,704,1125,45,60,98,115.7644812,100.2518315
179,make,148.8596157,146.489496,-1,136.981696,135.7363391,152.7778151,152.0830334,15,7,2,528,1469,58,37,88,96.4142708,103.2611451
180,miss,93.951218,99.2975089,-86,130.0843877,154.9173176,161.8640521,151.8610405,12,3,13,546,1206,40,71,160,175.8474046,102.1845532
181,make,134.8097165,126.0099221,6,147.4441649,170.2593728,167.4389094,160.456213,3,2,22,630,1084,52,86,198,216.3734276,100.013645
182,make,160.1905992,154.4466291,28,161.9388694,147.7419327,158.2243535,179.5528752,10,1,10,719,1162,27,129,219,255.2371039,124.7885805
183,miss,134.7895938,134.2144162,7,135.2667116,153.1430135,131.6256224,164.3384803,12,5,27,594,1120,63,47,157,164.8756193,101.4988964
184,miss,166.1718809,165.7407954,12,131.9520396,162.1521059,155.0273504,166.2891646,5,4,8,657,1139,36,23,156,157.8463225,118.6191427
185,miss,144.04327,143.8359111,-7,181.949978,156.4650452,158.3056309,162.1735364,3,3,65,735,1230,38,67,170,183.0853985,118.377661
186,miss,161.1875407,161.1049553,41,159.0871521,162.7671348,170.8567274,177.1177622,3,0,39,750,1098,21,119,228,258.0354964,124.9634166
187,make,170.147393,171.254532,32,175.8211231,171.3548294,168.7416891,169.9641172,3,0,30,751,1273,13,104,198,224.3663935,118.4381458
188,make,171.2220319,170.6710673,37,151.8580047,172.6931751,175.49056,175.0646521,4,2,60,736,1096,35,96,207,228.2797016,119.5979397
189,miss,78.993639,76.745985,-49,84.9504891,158.1219409,159.3873274,156.234896,8,3,0,567,1350,34,59,134,147.1443305,111.951498
190,make,147.4472307,145.1810904,29,169.3295781,165.8840689,179.7753008,160.8664871,5,2,26,675,1181,53,102,164,193.6119896,133.5409257
191,make,166.9718642,165.8242243,43,159.3112302,179.0430975,172.3712685,175.6850805,3,1,56,770,1157,24,94,200,221.7616007,132.0508381
192,make,148.1223836,152.3567941,13,149.2258567,170.4090852,173.7616917,164.6532384,5,2,28,690,1291,38,11,177,178.3714539,92.8165224
